"symbol","date","open","high","low","close","volume","adjusted"
"ADBE",2000-03-20,22.046875,22.484375,21.40625,21.859375,8595200,21.7047328948975
"ADBE",2000-03-21,21.890625,23.015625,21.28125,22.921875,10534000,22.7597217559814
"ADBE",2000-03-22,23.6953125,25.5,22.984375,25.5,16744800,25.3196029663086
"ADBE",2000-03-23,25.140625,27.390625,24.75,26.640625,12223600,26.4586429595947
"ADBE",2000-03-24,26.40625,27.5,26.34375,27.046875,7835600,26.8621196746826
"ADBE",2000-03-27,27.21875,28.671875,27,28.40625,6834400,28.2122020721436
"ADBE",2000-03-28,28.1875,28.84375,27.5,27.78125,6964400,27.5914726257324
"ADBE",2000-03-29,27.75,28.40625,26.96875,27.84375,5551200,27.6535511016846
"ADBE",2000-03-30,27.375,29,26.75,26.796875,6503200,26.6138305664062
"ADBE",2000-03-31,27.0625,28.75,26.671875,27.828125,7458000,27.638032913208
"ADBE",2000-04-03,28.2734375,28.625,25.75,26.390625,10012400,26.2103500366211
"ADBE",2000-04-04,27.109375,27.25,22.0625,25.4375,20696400,25.2637386322021
"ADBE",2000-04-05,25.25,27.625,24.5,26.796875,9953200,26.6138305664062
"ADBE",2000-04-06,27.34375,28.65625,27.03125,28.65625,10676000,28.4605026245117
"ADBE",2000-04-07,28.984375,31.25,28.90625,31.25,11309200,31.0365333557129
"ADBE",2000-04-10,30.7109375,31.125,29,29.296875,6682800,29.0967502593994
"ADBE",2000-04-11,28.6875,30.5,27.84375,29.875,9586000,29.6709289550781
"ADBE",2000-04-12,30,30.25,27.5,28.015625,10696800,27.8242511749268
"ADBE",2000-04-13,28.33203125,29.5,27,28.390625,11635200,28.1966953277588
"ADBE",2000-04-14,27.71875,27.734375,23.796875,24.453125,14822800,24.2860870361328
"ADBE",2000-04-17,24.53125,28.328125,24.421875,28.328125,10586800,28.1346168518066
"ADBE",2000-04-18,28.890625,30.40625,28.328125,29.25,8886000,29.0501937866211
"ADBE",2000-04-19,28.9375,29.3125,27.90625,28.15625,5971600,27.9639129638672
"ADBE",2000-04-20,28.203125,28.62109375,26.625,28.15625,6578800,27.9639129638672
"ADBE",2000-04-24,26.921875,28,24.25,26.1875,9034800,26.0086154937744
"ADBE",2000-04-25,26.703125,30.375,26,30,14261600,29.7950687408447
"ADBE",2000-04-26,29.640625,30.1875,28.078125,28.71875,10008800,28.5225696563721
"ADBE",2000-04-27,27.015625,31.125,26.75,30.859375,11139200,30.6485767364502
"ADBE",2000-04-28,31.203125,31.96875,29.5,30.234375,11328800,30.0278472900391
"ADBE",2000-05-01,30.546875,32.75,30.53125,32.671875,8049200,32.4486923217773
"ADBE",2000-05-02,32.15625,32.1875,28.8125,28.875,6946800,28.6777591705322
"ADBE",2000-05-03,28.9375,29.90625,26,28.1875,12529600,27.9949569702148
"ADBE",2000-05-04,28.375,28.6875,27.0625,28.484375,6709600,28.2898044586182
"ADBE",2000-05-05,27.9375,30.203125,27.84375,29.921875,6605600,29.7174777984619
"ADBE",2000-05-08,29.0625,29.4375,27.25,27.34375,5495200,27.1569709777832
"ADBE",2000-05-09,27.875,29.40625,26.34375,28.078125,9874800,27.8863277435303
"ADBE",2000-05-10,27.3125,28.40625,26.4375,26.546875,10190400,26.3655376434326
"ADBE",2000-05-11,27.328125,27.5625,25.40625,27.09375,10963200,26.9086742401123
"ADBE",2000-05-12,27.234375,28.34375,26.625,27.046875,4381600,26.8621196746826
"ADBE",2000-05-15,27.34375,27.65625,26.5625,27.5,5064800,27.3121490478516
"ADBE",2000-05-16,28.1171875,31.21875,28.109375,30.96875,11287200,30.7572021484375
"ADBE",2000-05-17,29.78125,30.71875,29.125,30.078125,6428400,29.8726654052734
"ADBE",2000-05-18,30.015625,31.0625,28.75,28.75,5727200,28.5536079406738
"ADBE",2000-05-19,28.5,29.3125,27.34375,27.390625,8564000,27.2035255432129
"ADBE",2000-05-22,27.53125,27.53125,25.75,27.421875,11500400,27.2345600128174
"ADBE",2000-05-23,27.359375,28.75,26.8125,27.234375,10874800,27.0483341217041
"ADBE",2000-05-24,26.875,27.34375,25.5625,26.53125,13330400,26.3500118255615
"ADBE",2000-05-25,26.953125,28.125,25.875,26.125,5880400,25.9465427398682
"ADBE",2000-05-26,26.21875,26.625,25.40625,25.703125,4354400,25.527551651001
"ADBE",2000-05-30,26.65625,29.1875,26.65625,29.140625,6782800,28.9415702819824
"ADBE",2000-05-31,28.5625,29.78125,28.125,28.140625,6144800,27.9483985900879
"ADBE",2000-06-01,28.9609375,29.984375,28.46875,29.625,6863200,29.4226322174072
"ADBE",2000-06-02,30.390625,31.96875,30.390625,31.25,5660400,31.0365333557129
"ADBE",2000-06-05,31.25,33,31.1875,32.171875,10037200,31.9521102905273
"ADBE",2000-06-06,31.828125,31.828125,28.875,28.921875,13826400,28.7243118286133
"ADBE",2000-06-07,29.75,30,28.0625,28.578125,11221600,28.382905960083
"ADBE",2000-06-08,29.375,30.34375,29.046875,29.59375,8131200,29.3915958404541
"ADBE",2000-06-09,30.234375,30.5,29.875,30.171875,4936000,29.9657726287842
"ADBE",2000-06-12,31.21875,31.25,30.3125,30.3125,8233600,30.1054382324219
"ADBE",2000-06-13,30.7890625,31.91796875,30.0625,31.796875,8335200,31.5796756744385
"ADBE",2000-06-14,32.2265625,32.625,30,30.46875,11954400,30.2606163024902
"ADBE",2000-06-15,30.75,31.734375,29.9375,31.1875,9943600,30.9744606018066
"ADBE",2000-06-16,30.03125,30.1875,28.46875,30.0625,17876800,29.8571472167969
"ADBE",2000-06-19,29.6796875,32.125,29.671875,31.84375,9478400,31.6262264251709
"ADBE",2000-06-20,31.5625,32.984375,31.375,32.8125,11540400,32.5883636474609
"ADBE",2000-06-21,32.09375,32.75,31.1875,32.203125,5958800,31.983154296875
"ADBE",2000-06-22,32.0078125,32.25,30.09375,30.265625,4679600,30.0588817596436
"ADBE",2000-06-23,30.53125,30.84375,29.125,29.4375,4730800,29.2364120483398
"ADBE",2000-06-26,29.8359375,31.75,29.4375,31.171875,4722400,30.9589462280273
"ADBE",2000-06-27,30.6328125,30.93359375,29.515625,29.515625,5097600,29.3140048980713
"ADBE",2000-06-28,30.109375,31.48046875,29.91015625,31.203125,5057200,30.9899711608887
"ADBE",2000-06-29,30.9609375,32,30.65625,31.0625,4454400,30.8503170013428
"ADBE",2000-06-30,31.4921875,32.5,31.1875,32.5,5107200,32.2844886779785
"ADBE",2000-07-03,32.25,32.453125,31.640625,31.96875,1652800,31.7567653656006
